idx,country,capital,image
152,American Samoa,Pago Pago,http://www.topdesignmag.com/wp-content/uploads/2011/01/1541.jpg
153,Federated States of Micronesia,Palikir,http://www.topdesignmag.com/wp-content/uploads/2011/01/1551.jpg
154,Panama,Panama City,http://www.topdesignmag.com/wp-content/uploads/2011/01/1561.jpg
155,French Polynesia,Papeete,http://www.topdesignmag.com/wp-content/uploads/2011/01/1571.jpg
156,Suriname,Paramaribo,http://www.topdesignmag.com/wp-content/uploads/2011/01/1581.jpg
157,France,Paris,http://www.topdesignmag.com/wp-content/uploads/2011/01/1591.jpg
158,Sint Maarten,Philipsburg,http://www.topdesignmag.com/wp-content/uploads/2011/01/160.jpg
159,Cambodia,Phnom Penh,http://www.topdesignmag.com/wp-content/uploads/2011/01/1614.jpg
160,Montserrat,Plymouth,http://www.topdesignmag.com/wp-content/uploads/2011/01/1621.jpg
161,Montenegro,Podgorica,http://www.topdesignmag.com/wp-content/uploads/2011/01/1631.jpg
162,Mauritius,Port Louis,http://www.topdesignmag.com/wp-content/uploads/2011/01/1641.jpg
163,Papua New Guinea,Port Moresby,http://www.topdesignmag.com/wp-content/uploads/2011/01/1651.jpg
164,Vanuatu,Port Vila,http://www.topdesignmag.com/wp-content/uploads/2011/01/1661.jpg
165,Haiti,Port-au-Prince,http://www.topdesignmag.com/wp-content/uploads/2011/01/1671.jpg
166,Trinidad and Tobago,Port of Spain,http://www.topdesignmag.com/wp-content/uploads/2011/01/1681.jpg
167,Benin,Porto-Novo,http://www.topdesignmag.com/wp-content/uploads/2011/01/1691.jpg
168,Czech Republic,Prague,http://www.topdesignmag.com/wp-content/uploads/2011/01/170.jpg
169,Cape Verde,Praia,http://www.topdesignmag.com/wp-content/uploads/2011/01/1713.jpg
170,South Africa,Pretoria,http://www.topdesignmag.com/wp-content/uploads/2011/01/1721.jpg
171,Kosovo,Pristina,http://www.topdesignmag.com/wp-content/uploads/2011/01/1731.jpg
172,Malaysia,Putrajaya,http://www.topdesignmag.com/wp-content/uploads/2011/01/1741.jpg
173,North Korea,Pyongyang,http://www.topdesignmag.com/wp-content/uploads/2011/01/1751.jpg
174,Ecuador,Quito,http://www.topdesignmag.com/wp-content/uploads/2011/01/1761.jpg
175,Morocco,Rabat,http://www.topdesignmag.com/wp-content/uploads/2011/01/1771.jpg
176,Iceland,Reykjavík,http://www.topdesignmag.com/wp-content/uploads/2011/01/1781.jpg
177,Latvia,Riga,http://www.topdesignmag.com/wp-content/uploads/2011/01/1791.jpg
178,Saudi Arabia,Riyadh,http://www.topdesignmag.com/wp-content/uploads/2011/01/180.jpg
179,British Virgin Islands,Road Town,http://www.topdesignmag.com/wp-content/uploads/2011/01/1813.jpg
180,Italy,Rome,http://www.topdesignmag.com/wp-content/uploads/2011/01/1821.jpg
181,Dominica,Roseau,http://www.topdesignmag.com/wp-content/uploads/2011/01/1831.jpg
182,Northern Mariana Islands,Saipan,http://www.topdesignmag.com/wp-content/uploads/2011/01/1841.jpg
183,Costa Rica,San José,http://www.topdesignmag.com/wp-content/uploads/2011/01/1851.jpg
184,Puerto Rico,San Juan,http://www.topdesignmag.com/wp-content/uploads/2011/01/1861.jpg
185,San Marino,San Marino,http://www.topdesignmag.com/wp-content/uploads/2011/01/1871.jpg
186,El Salvador,San Salvador,http://www.topdesignmag.com/wp-content/uploads/2011/01/1883.jpg
187,Yemen,Sanaá,http://www.topdesignmag.com/wp-content/uploads/2011/01/1891.jpg
188,Chile,Santiago,http://www.topdesignmag.com/wp-content/uploads/2011/01/190.jpg
189,Dominican Republic,Santo Domingo,http://www.topdesignmag.com/wp-content/uploads/2011/01/1921.jpg
190,São Tomé and Príncipe,São Tomé,http://www.topdesignmag.com/wp-content/uploads/2011/01/1911.jpg
191,Bosnia,Sarajevo,http://www.topdesignmag.com/wp-content/uploads/2011/01/1931.jpg
192,South Korea,Seoul,http://www.topdesignmag.com/wp-content/uploads/2011/01/1941.jpg
193,Singapore,Singapore,http://www.topdesignmag.com/wp-content/uploads/2011/01/1961.jpg
194,Macedonia,Skopje,http://www.topdesignmag.com/wp-content/uploads/2011/01/1971.jpg
195,Bulgaria,Sofia,http://www.topdesignmag.com/wp-content/uploads/2011/01/1981.jpg
196,Kiribati,South Tarawa,http://www.topdesignmag.com/wp-content/uploads/2011/01/1991.jpg
197,Sri Lanka,Sri Jayawardenepura,http://www.topdesignmag.com/wp-content/uploads/2011/01/200.jpg
198,Grenada,St. George’s,http://www.topdesignmag.com/wp-content/uploads/2011/01/2011.jpg
199,Jersey,St. Helier,http://www.topdesignmag.com/wp-content/uploads/2011/01/2021.jpg
200,Antigua and Barbuda,St. John’s,http://www.topdesignmag.com/wp-content/uploads/2011/01/2031.jpg
201,Guernsey,St. Peter Port,http://www.topdesignmag.com/wp-content/uploads/2011/01/2041.jpg
202,Saint Pierre and Miquelon,St. Pierre,http://www.topdesignmag.com/wp-content/uploads/2011/01/2051.jpg
203,Falkland Islands,Stanley,http://www.topdesignmag.com/wp-content/uploads/2011/01/2061.jpg
204,Sweden,Stockholm,http://www.topdesignmag.com/wp-content/uploads/2011/01/2071.jpg
205,Bolivia,Sucre,http://www.topdesignmag.com/wp-content/uploads/2011/01/2081.jpg
206,Abkhazia,Sukhumi,http://www.topdesignmag.com/wp-content/uploads/2011/01/2091.jpg
207,Fiji,Suva,http://www.topdesignmag.com/wp-content/uploads/2011/01/2101.jpg
208,Taiwan,Taipei,http://www.topdesignmag.com/wp-content/uploads/2011/01/2116.jpg
209,Estonia,Tallinn,http://www.topdesignmag.com/wp-content/uploads/2011/01/2121.jpg
210,Uzbekistan,Tashkent,http://www.topdesignmag.com/wp-content/uploads/2011/01/2131.jpg
211,Georgia,Tbilisi,http://www.topdesignmag.com/wp-content/uploads/2011/01/2141.jpg
212,Honduras,Tegucigalpa,http://www.topdesignmag.com/wp-content/uploads/2011/01/2151.jpg
213,Iran,Tehran,http://www.topdesignmag.com/wp-content/uploads/2011/01/2161.jpg
214,Bhutan,Thimphu,http://www.topdesignmag.com/wp-content/uploads/2011/01/2171.jpg
215,Albania,Tirana,http://www.topdesignmag.com/wp-content/uploads/2011/01/300.jpg
